title,content,nro_licitacion,tipo_variable,llm_response
señalización preventiva y el ordenamiento del tránsito público durante el lapso de ejecución de los
trabajos y, en general, todo costo relacionado con la corecta ejecución de los rubros.
4. REMOCIÓN Y
Según lo indique la denominación del rubro, comprende los trabajos corespondientes a la remoción
REPOSICIÓN DE
del pavimento tipo empedrado en las zonas indicadas y/o la reposición de empedrado a niveles
EMPEDRADO
corectos.
En los lugares donde se realice remoción y reposición de empedrado, las piedras del empedrado
existente serán removidas, selecionadas y limpiadas. Las piedras sanas serán reutilizadas para la
reposición del empedrado. Para cubrir el porcentaje de piedras desechadas y faltantes, el Contratista
deberá prover piedras de las características citadas más abajo. En caso de que las piedras de los
empedrados no se volvieran a utilizar, el material removido deberá ser derivado a la Direción de
Vialidad de la Contratante, sito en Avenida Costanera y Av. Artigas.
Descripción
Este trabajo consistirá en la reconstrución de una base de piedra bruta blanca o piedra basáltica,
dependiendo del tipo de piedra existente, colocada sobre un lecho de arena lavada, asentada sobre
una plataforma previamente preparada de acuerdo con estas especificaciones y en conformidad a las
dimensiones, pendientes, cotas y seciones transversales indicadas en los planos o como lo indique
el Fiscal de Obra.
Materiales
3/148
Piedra
Las piedras tendrán 15 a 20 cm en su dimensión mayor como mínimo. Las piezas de piedra deben
tener la suficiente resistencia para evitar el aplastamiento de los puntos de contacto durante la
compactación vibratoria. En el ensayo de desgaste Los Ángeles, empleando la granulometría más
gruesa, tendrá un desgaste no superior a 25%. Las canteras de piedra podrán ser de la familia de
granitos, basalto calcáreo o arenisca dura. El espesor del empedrado colocado será de 15 a 20 cm
logrado con una sola pieza de piedra. Se admitirá superposición de piedras solamente en casos muy
limitados.
Arena
La arena estará compuesta de granos limpios resistentes y durables y debe estar exenta de
impurezas, materias orgánicas y arcilas. Tendrá un índice de plasticidad nulo.
Lecho de arena
Sobre la subrasante terminada, será extendida una capa de arena de 0.20 m. de espesor. La arena
deberá reunir los requisitos exigidos más ariba. Cualquier parte blanda o inestable de la subrasante
debe coregirse antes de la colocación del lecho de arena.
Base de piedra
La colocación de las piedras se hará con acomodación manual con el criterio de lograr la máxima
trabazón y puntos de contactos (mínimo de vacíos estructura cerada). Las piedras se colocarán a
mano y a martilo sobre el lecho de arena, perpendicularmente a la plataforma, siguiendo la
conformación de la seción transversal y con la menor dimensión hacia abajo. La mayor dimensión
en su superficie externa estará orientada en sentido normal al eje de la calzada. Una vez colocadas
las piedras, podrá el calzado de las juntas con granos de piedra de menor tamaño para lograr una
superficie cerada. No se relenarán las juntas entre las piedras con arena, las que deben quedar sin
releno. A fin de mantener la estabilidad del conjunto, se acuñarán piedras de tamaño menor entre
las juntas de piedras mayores.
La compactación será lograda mediante los siguientes tipos de pisones:
a) Individuales de 0.15 x 0.15 y de 12 a 20 kg. de peso.
b) Pisones para cuatro hombres, con base de hasta 0.30 m. de diámetro y con un peso
aproximado de 65 kg. como máximo.
Este pisón se pasará por lo menos tres veces o cuantas veces sea necesario para lograr una buena y
eficaz compactación.
Seguidamente, la compactación se hará con un rodilo vibratorio de 8 ton de peso estático. El proceso
de compactación es como sigue:
• Se hará una primera pasada del rodilo sin vibrar;
• Luego se seguirá con dos pasadas del rodilo vibrando en cada punto.
Durante el apisonado se esparcirán manualmente piedras menudas y arena,
para lenar totalmente las juntas entre piedras en la cantidad de un metro
cúbico por cada setenta y cinco metros cuadrados.
34/148
La compactación se efectuará a partir de la línea de cordón hacia el eje.
Si faltaren piedras y/o arena lavada para la reconstrución del empedrado la provisión corerá por
cuenta del contratista. Para relenar las juntas se usarán piedras basálticas menudas mezcladas con
ripio negro proveniente de cantera de piedra triturada basáltica, en una cantidad aproximada de 1
m³ por cada 75 m².
En caso de que se produjeran desperfectos en las cañerías de servicios públicos por el Contratista,
este se encargara de tramitar las gestiones pertinentes antes los entes corespondientes y lo
comunicará a la Contratante por intermedio del Fiscal de Obra.
En todos los casos las reparaciones serán hechas por los entes responsables de dichos servicios con
su personal, equipo y materiales. El contratista está obligado a brindar toda la coperación que sea
necesaria para la rápida y efectiva solución del o los inconvenientes que se presentaren.
En las zonas cercanas a los cordones donde el rodilo vibrante no pueda ser utilizado, la
compactación se completará con medios manuales (pisones), y posteriormente con medios
mecánicos livianos (plancha y/o sapitos compactadores).
.
MÉTODO DE MEDICIÓN
Las cantidades de los ítems REMOCIÓN DE EMPEDRADO - REPOSICIÓN DE EMPEDRADO serán
medidas en metros cuadrados (m2) construidas y aceptadas mediante cálculos efectuados con las
dimensiones dadas en los planos y/u órdenes de trabajo. Están indicadas en los ítems 1.1.2, 1.2.3,
4.1.2, 4.2.2, 4.3.2 y 5.2 de la Planila de Oferta.
FORMA DE PAGO
El pago por la construción de base de piedra (empedrado), medida como se establece en el punto
anterior se hará al precio contractual corespondiente a los ítems REMOCIÓN DE EMPEDRADO -
REPOSICIÓN DE EMPEDRADO, cuyo precio y pago será la compensación total por el trabajo descrito
en estas especificaciones, incluyendo la mano de obra, provisión de materiales, equipos,
heramientas, transportes e imprevistos necesarios para completar satisfactoriamente el trabajo.
Se deberá prever la remoción del pavimento tipo empedrado existente y construción de empedrado
en los lugares a ser intervenidos, de manera tal que el espesor de la nueva carpeta quede empalmada
corectamente con el pavimento adyacente.
5. EXCAVACIÓN
Estas especificaciones son aplicables a todo tipo de excavación, remoción y recoleción satisfactoria
de los materiales dentro de los límites de la obra, de conformidad con las dimensiones y seciones
indicadas en plano.
Las excavaciones de las zanjas deberán proporcionar, después de concluidas, las condiciones para la
construción del muro o cualquier estructura a ser construida, conforme lo indica el proyecto.
Antes que se excave seción alguna, el Contratista deberá examinar la zona para considerar el
aseguramiento de las zonas desmoronables y los antecedentes de escurimiento superficial de agua
en días de luvia en el lugar y se deberán tomar las previsiones, con la asesoría del Fiscal de Obra. Esta
previsión incluirá, además de todo lo anterior, el estudio de defensa más adecuado en los puntos
donde el escurimiento debe ser desviado parcial o totalmente.
35/148
Todas las excavaciones serán hechas a cielo abierto y no se permitirá hacer túneles, sino cuando ésos
se especifiquen o cuando el Fiscal de Obra así lo autorice.
Todo suelo sobrante de los desmontes será transportado por el Contratista al lugar o lugares que
indique el Fiscal de Obra. En caso de que el Fiscal de Obra no fije destino, el Contratista podrá
disponer del suelo sobrante depositándolo en lugares donde no ocasionen perjuicios a terceros, al
medio ambiente o a la Municipalidad.
Los lugares excavados deberán quedar libres de agua, cualquiera sea el origen (luvia o napa
freática), debiendo para elo ser providenciado su drenaje a través del desagotamiento o drenaje
subteráneo, de acuerdo a la necesidad, cuidando siempre la seguridad de área circundante de
cualquier derumbe u otro problema como consecuencia del trabajo realizado.
El Fiscal de Obra acompañará rigurosamente la excavación, movimiento, colocación y disposición del
material extraído, y determinará su aceptabilidad para los relenos.
Todo material considerado inadecuado y los suelos no utilizables serán levados a las áreas
aprobadas para el efecto. Se extraerá todo el material, de cualquier clase, que se encuentre dentro de
los límites de la excavación. Para esto, el Contratista deberá estar informado del volumen y
distribución de todo material por excavarse. Antes de iniciar la excavación, el Contratista hará una
investigación de las referencias para que no sean dañados tubos, cajas, cables, postes, etc., que
estén en la zona alcanzada por la excavación o en áreas cercanas a ela. Habiendo redes de otros
servicios públicos, quedará bajo la responsabilidad del Contratista la no interupción de aquelos
servicios. La excavación próxima a las interferencias deberá ser cuidadosa, de forma de no dañar las
estructuras existentes. Todo daño causado a cualquier instalación existente deberá ser reparado por
el Contratista o por la entidad propietaria de la misma, quedando a cargo del Contratista cualquier
gasto de reparación o indemnización emergente.
Los materiales provenientes de las excavaciones deberán ser colocados al lado de las zanjas a una
distancia mínima de sus bordes igual a su ancho.
El Contratista deberá mantener libres las rejilas, tapas de registros y sumideros de las redes de
servicios públicos, no debiendo estos componentes ser dañados o tapados en ningún momento.
CLASIFICACIÓN
EXCAVACIÓN EN SUELO COMÚN Y ORGÁNICO
Comprende suelos en general, residuales o sedimentarios, rocas en estado adelantado de
descomposición, canto rodado o no, con un diámetro máximo inferior a 0,15 m cualquiera sea el
grado de humedad que presenten.
EXCAVACIÓN EN SUELO COMPACTO ((EN TOSCA))
Comprende los materiales con resistencia al desmonte mecánico inferior al de la roca no alterada y
cuya extración se realiza mediante combinación de métodos que obliguen a la utilización continua e
indispensable de martiletes neumáticos o mecánicos.
36/148
MÉTODO DE MEDICIÓN
Las cantidades serán verificadas y aceptadas mediante cálculos efectuados con las dimensiones
dadas en los planos y/u órdenes de trabajo. La certificación se hará por metro cúbico (m3). Serán
certificados los rubros realmente ejecutados, previa aprobación y medición del Fiscal de Obra. Las
cantidades están indicadas en los ítems 1.1.3, 1.2.4, 4.1.3, 4.2.3, 4.3.3 y 5.3 de la Planila de Oferta.
FORMA DE PAGO
El pago de los trabajos, medidos como ese establece en el punto anterior, se hará al precio
contractual corespondiente al ítem EXCAVACIÓN, cuyo precio y pago será en compensación total por
los trabajos descritos en estas especificaciones, incluyendo la mano de obra, provisión de materiales,
equipos, heramientas, señalización del área, transportes e imprevistos necesarios para completar
satisfactoriamente los trabajos.
El precio unitario deberá cubrir todos los costos de limpieza previa, la carga, transporte, descarga y
acopio del material proveniente de la ejecución del ítem; la reparación a satisfación de todos los
elementos que hayan sido afectados por la ejecución de los trabajos; la señalización preventiva y el
ordenamiento del tránsito público durante el lapso de ejecución de los trabajos y, en general, todo
costo relacionado con la corecta ejecución de los rubros.
37/148
6. COMPACTACIÓN
Una vez procedido con el desmonte y/o la adición de material necesario para alcanzar el perfil de la
DE BASE
subrasante, atendiendo los alineamientos y seción transversal de proyecto, se procederá a
compactar el material agregado hasta conseguir un porcentaje de densidad del 98% de la densidad
máxima del ensayo ASHTO (T-9), en los 20 cm superiores.
El equipo de compactación será el adecuado para el tipo de suelo a compactar y deberá ejercer la
presión necesaria para obtener la densidad fijada.
El material que en alguna parte de la superficie demuestre no poder ser compactado
satisfactoriamente, deberá ser totalmente removido y remplazado por un suelo apto.
MÉTODO DE MEDICIÓN
La unidad de medida es el metro cuadrado (m2), previa aprobación del Fiscal de Obra. Está indicada
en los ítems 1.1.4, 1.2.5, 4.1.4 y 4.2.4 de la Planila de Oferta.
FORMA DE PAGO
La superficie medida en la forma especificada se pagará al precio unitario de contrato de
COMPACTACIÓN DE BASE.
Este precio será compensación total por el transporte, acopio y provisión de materiales, mano de
obra, compactación hasta la densidad solicitada, equipo y todas las operaciones constructivas
requeridas para la corecta ejecución del ítem indicado.
38/148
7. CUNETA DE
La resistencia característica y controles de calidad del hormigón a utilizar para las Cunetas son los
HORMIGÓN
mismos especificados para el Pavimento de HormigónHidráulico.
HIDRÁULICO
MÉTODO DE MEDICIÓN
La unidad de medida de la cuneta será el metro lineal (ml), medido en pista, de acuerdo con las
exigencias de estas especificaciones y las dimensiones y cotas señaladas en los documentos del
proyecto u ordenadas por el Fiscal de Obra. Dicha unidad de medida está indicada en los ítems 1.1.5
y 4.1.5 de la Planila de Oferta.
FORMA DE PAGO
El pago se hará al respectivo precio unitario del contrato, por toda obra ejecutada de acuerdo con
esta especificación y a satisfación plena del Fiscal de Obra y coresponderá al ítem CUNETAS DE
HORMIGÓN HIDRÁULICO DE ALTA DUREZA INICIAL A= 0,60 m e= 0,12 m Fck= 260 kg/cm2.
El precio unitario deberá cubrir todos los costos de limpieza previa que requiera la superficie, la
carga, transporte, descarga, acopio y deposición final del material proveniente de la ejecución del
ítem; la reparación a satisfación de todos los elementos que hayan sido afectados por la ejecución
de los trabajos; la señalización preventiva y el ordenamiento del tránsito público durante el lapso de
ejecución de los trabajos y, en general, todo costo relacionado con la corecta ejecución del rubro.
39/148
8. RETIRO DE
Si como consecuencia de los trabajos se tuvieren restos de materiales provenientes de demolición,
MATERIAL
excedentes de excavaciones, etc., el Contratista se encargará por su cuenta de retirarlos del sitio de
EXCEDENTE Y
obra.
LIMPIEZA DEL SITIO
DE OBRA
Las veredas deben mantenerse siempre limpias de todo tipo de material y equipo, y solo podrán ser
ocupadas por breve tiempo (máximo 48 hs). Cualquier problema generado con los vecinos
colindantes a la obra será responsabilidad exclusiva de la Contratista.
Todo suelo sobrante de los desmontes y excavaciones será transportado por el Contratista al lugar o
lugares que indique el Fiscal de Obra a una distancia no mayor que la Planta Asfáltica de la
Municipalidad de Asunción (ubicada en Av. General Santos y Av. Artigas) o una distancia máxima de
depósito 40 Km. En caso de que el Fiscal de Obra no fije destino, el Contratista podrá disponer del
suelo sobrante depositándola en lugares donde no ocasionen perjuicios a terceros, al ambiente o a la
Municipalidad.
MÉTODO DE MEDICIÓN
La unidad de medida del ítem RETIRO DE MATERIAL EXCEDENTE Y LIMPIEZA DEL SITIO DE OBRA, será
el metro cúbico (m3), de acuerdo con las exigencias de esta especificación y las dimensiones y cotas
señaladas en los documentos del proyecto u ordenadas por el Fiscal de Obra. Está indicada en los
ítems 1.1.6, 1.2.8, 4.1.6, 4.2.7 y 4.3.13 de la Planila de Oferta.
FORMA DE PAGO
El pago se hará al respectivo precio unitario del contrato, por toda obra ejecutada de acuerdo con
esta especificación y a satisfación plena del Fiscal de Obra y coresponderá al ítem RETIRO DE
MATERIAL EXCEDENTE Y LIMPIEZA DEL SITIO DE OBRA.
El precio unitario deberá cubrir todos los costos de limpieza previa que requiera la superficie, la
carga, transporte, descarga y acopio del material proveniente de la ejecución del rubro, la reparación
a satisfación de todos los elementos que hayan sido afectados por la ejecución de los trabajos, la
señalización preventiva y el ordenamiento del tránsito público durante el lapso de ejecución de los
trabajos y, en general, todo costo relacionado con la corecta ejecución de los rubros.
40/148
9. REMOCIÓN DE
Para la remoción de pavimento tipo hormigón simple o armado, se deberá marcar en el pavimento
PAVIMENTO DE
zonas rectangulares que delimiten las áreas de corte. A continuación, con una máquina de cortar
HORMIGÓN
equipada con disco especial para hormigón, se procederá al corte del pavimento. Posteriormente,
con la ayuda de un martilo neumático o en casos de pequeñas aberturas con mazos se debilitará y
romperá el pavimento de la zona a excavar, retirando del lugar los materiales que no serán
reciclados. Los equipos empleados deberán estar en perfectas condiciones de operación a fin de no
entorpecer las tareas.
Como norma general, la remoción del pavimento deberá ser hecha mecánicamente utilizándose
martiletes neumáticos insonorizados principalmente en zonas habitadas. Los restos del pavimento
no aprovechados serán retirados del área de ejecución y derivados al local de la Direción de Vialidad
de la Convocante (Av. Costanera y Av. Gral. Artigas) no pudiendo, el Contratista, abandonar el área
hasta que el sitio quede limpio y sin escombros.
MÉTODO DE MEDICIÓN
La unidad de medida del ítem REMOCIÓN DE PAVIMENTO DE HORMIGÓN, será el
metro cuadrado (m2), medido en pista a través del área ejecutada de acuerdo con las
exigencias de estas especificaciones y las dimensiones señaladas en los documentos
del proyecto u ordenadas por el Fiscal de Obra. Está indicada en el ítem 1.2.2 de la
Planila de Oferta.
FORMA DE PAGO
El pago se hará al respectivo precio unitario del contrato, por toda obra ejecutada de acuerdo con
estas especificaciones y a satisfación plena del Fiscal de Obra y coresponderá al ítem REMOCIÓN
DE PAVIMENTO DE HORMIGÓN.
El precio unitario deberá cubrir todos los costos de limpieza previa que requiera la superficie, la
carga, transporte, descarga y acopio del material proveniente de la ejecución del ítem; la reparación a
satisfación de todos los elementos que hayan sido afectados por la ejecución de los trabajos; la
señalización preventiva y el ordenamiento del tránsito público durante el lapso de ejecución de los
trabajos y, en general, todo costo relacionado con la corecta ejecución de los rubros.
10. BADENES Y
Según lo indique la denominación del rubro, comprende los trabajos corespondientes a la ejecución
PAVIMENTO DE
completa del pavimento de hormigón hidráulico con un espesor mínimo neto de 17 (diecisiete)
HORMIGÓN
centímetros.
HIDRÁULICO DE
ALTA DUREZA
INICIAL - Fck== 260
Los trabajos incluyen además el curado y las juntas, para quedar totalmente terminado en
Kg/cm2
condiciones de ser librado a su uso.
Todas las operaciones de preparación de la base y colocación del hormigón deben hacerse entre
cordones sin afectar para nada las veredas.
SEÑALIZACION Y BARERAS DE PROTECION
Se colocarán todas las señalizaciones necesarias para garantizar la circulación vehicular y peatonal
41/148
como carteles de obra, letreros, bareras, balizas y todas las indicaciones tendientes a brindar
seguridad al personal ocupado y a las obras en ejecución o ya terminadas, pero aún no habilitadas.
PROTECION DE INSTALACIONES EXISTENTES
El Contratista deberá tomar todos los recaudos necesarios para la ejecución de trabajos de
acondicionamiento de las tapas de registros y alcantarilas a fin de evitar obstruir el interior de los
pozos, desmoronamientos o peligros al personal.
También deberá evitar el corte de cañerías más o menos superficiales que aparezcan
durante la preparación de la base. No se permitirá la obstrución de las salidas
domiciliarias, trátense éstas de acumulaciones de materiales sobre vereda o de
cañerías de desagüe al cordón de la misma.
CARPETA DE HORMIGÓN HIDRÁULICO
Se define como paño el área delimitada entre juntas o en su defecto entre juntas y
bordes del pavimento.
Dosificación del Hormigón
El hormigón a elaborar deberá cumplir con las siguientes condiciones:
El hormigón elaborado deberá tener aditivo de manera de conferirle una alta
resistencia inicial para permitir la habilitación de la carpeta realizada a los vehículos
automotores dentro de las primeras 48 horas.
El hormigón elaborado deberá tener una Fck: 260 kg/cm2 a los veinte y ocho días.
Consistencia en el momento de su colocación en obra estará comprendida entre 6 y 9 cm,
medida en asentamiento del hormigón fresco (tronco cono de Abrams).
Temperatura de la mezcla no deberá superar los 32º C.
Dosaje se hará en peso, mediante sistema automatizado.
Preparación de la base
Los trabajos de este ítem comprenden todas las operaciones necesarias para dejar la base de asiento
en condiciones de recibir la losa de hormigón.
En caso de que se produjeran desperfectos en las cañerías de servicios públicos detectadas por el
Contratista, este se encargará de tramitar las gestiones pertinentes ante los entes corespondientes y
lo comunicará a la Municipalidad por intermedio del Fiscal de Obra.
