titulo,pre_informacion,cuerpo,post_informacion,ayuda,editable,no_aplica,opcional
Abastecimiento simultáneo,"<p>En caso de que se opte por el sistema de abastecimiento simultaneo, en éste apartado se deberá indicar la manera de distribución de los mismos:</p>",,,"<p>Establecer en este apartado el sistema de distribución. Ej. 50/30/20; 60/40, entre otros.</p>

<p>En caso de no optar por el mismo deberá seleccionar la opción: No Aplica.</p>",True,True,False
Moneda de la oferta y pago,<p>La moneda de la oferta y pago será:</p>,,"<p>La cotización en moneda diferente de la indicada en este apartado será causal de rechazo de la oferta. Si la oferta seleccionada es en guaraníes, la oferta se deberá expresar en números enteros, no se aceptarán cotizaciones en decimos y céntimos.</p>","<p><em>De conformidad a lo dispuesto en la normativa, la moneda de la oferta y pago será guaraní&nbsp;</em><em>en caso de bienes, servicios u obras que se provean desde el territorio nacional.</em></p>

<p><em>Podrá aceptarse moneda extranjera&nbsp;en caso de bienes, servicios u obras que se provean fuera del territorio nacional o que sean proveídos por proveedores o contratistas no domiciliados en Paraguay.</em></p>",True,False,False
Moneda extranjera,"<p>En caso de indicar que se permitirá moneda extranjera para la oferta y pago,&nbsp; se debe seleccionar la moneda extranjera permitida:</p>",,,,True,False,True
Copias de la oferta - CPS,"<p>El oferente presentará su oferta original. Adicionalmente, la convocante podrá requerir copias de las ofertas en la cantidad indicada en este apartado, las copias deberán estar indicadas como tales.</p>

<p>Cuando la presentación de las ofertas se realice a través del módulo de Oferta Electrónica, la convocante no requerirá de copias.</p>

<p>Cantidad de copias requeridas:</p>",,,"<p>Cuidando los criterios de calidad y sustentabilidad, para requerir la presentación de copias, se deberá considerar si resulta estrictamente necesario solicitar copias, además de la oferta en original.</p>

<p>Cuando se utilice el módulo de oferta electrónica deberá indicar No aplica.</p>",True,True,False
Método de presentación de ofertas,<p>El método de presentación de ofertas para esta convocatoria será:</p>,,"<p>En caso de presentación física, los sobres deberán:</p>

<p>1. Indicar el nombre y la dirección del oferente;</p>

<p>2. Estar dirigidos a la convocante;</p>

<p>3. Llevar la identificación específica del proceso de contratación indicado en el SICP; y</p>

<p>4. Llevar una advertencia de no abrir antes de la hora y fecha de apertura de ofertas.</p>

<p>5. Identificar si se trata de un sobre técnico o&nbsp;económico.</p>

<p>La convocante podrá determinar el método de presentación de ofertas en un sobre o en doble sobre. En este último caso, el primer sobre contendrá la oferta técnica, incluyendo los documentos que acrediten la personería del oferente y el segundo sobre, contendrá la oferta económica. En caso de presentación de ofertas físicas, las mismas deberán ser entregadas a la convocante en sobres cerrados. Cuando las mismas deban ser presentadas en doble sobre, la convocante deberá resguardar las ofertas técnicas y económicas hasta su apertura.</p>

<p>Si los sobres no están cerrados e identificados como se requiere, la convocante no se responsabilizará en caso de que la oferta se extravíe o sea abierta prematuramente.</p>","<p><em>En este apartado se deberá seleccionar&nbsp;el método que se requerirá para la presentación de ofertas, pudiendo tratarse de uno o en doble sobres.</em></p>

<p><em>En los casos en los cuales sea conveniente&nbsp;proceder a la evaluación técnica, de manera previa e independiente al conocimiento de las ofertas económicas, la&nbsp;convocante podrá optar por el&nbsp;método de doble sobre.</em></p>",True,False,False
Documentos de la oferta,,"<p style=""margin-left:20px; margin-right:22px"">El pliego, sus adendas y aclaraciones no forman parte de la oferta, por lo que no se exigirá la presentación de copias de los mismos con la oferta.</p>

<p style=""margin-left:20px; margin-right:23px"">Los oferentes inscriptos en el Registro de Proveedores del Estado, podrán presentar con su oferta, la Constancia del Perfil del Proveedor, que reemplazará a los documentos solicitados por la convocante en el presente pliego.</p>

<p style=""margin-left:20px"">Cuando la presentación de oferta sea electrónica la misma deberá sujetarse a la Resolución DNCP Nº 3800/23.</p>

<p style=""margin-left:20px; margin-right:22px"">Los oferentes deberán indicar en su oferta, qué documentos que forman parte de la misma son de carácter reservado e invocar la norma que ampara dicha reserva, para así dar cumplimiento a lo estipulado en la Ley N° 5282/14 ""DE LIBRE ACCESO CIUDADANO A LA INFORMACIÓN PÚBLICA Y TRANSPARENCIA GUBERNAMENTAL"". Si el oferente no hace</p>

<p style=""margin-left:20px"">pronunciamiento expreso amparado en la Ley, se entenderá que toda su oferta y documentación es pública.</p>",,,False,False,False
Ofertas Alternativas,"<p>Se permitirá la presentación de&nbsp;oferta alternativa, según los siguientes criterios a ser considerados para la evaluación de la misma:</p>",,,"<p>Indicar en este apartado si se permitirá la presentación de ofertas alternativas a la oferta principal, además indicar cuales serán los criterios a ser dispuestos para su evaluación.&nbsp;</p>

<p>En caso de no permitirse la presentación, se deberá seleccionar la opción: No Aplica.</p>",True,True,False
Periodo de validez de las ofertas,<p>Las ofertas deberán mantenerse válidas (en días corridos) por:&nbsp;</p>,,"<p>Las ofertas se deberán mantener válidas por el periodo indicado en el presente apartado, a partir de la fecha límite para la presentación de ofertas, establecido por la convocante. Toda oferta con un periodo menor será rechazada.</p>","<p>Indicar en este apartado, en números enteros, la cantidad de días corridos por la cual las ofertas deberán mantenerse válidas.</p>",True,False,False
"Garantías: instrumentación, plazos y ejecución.",,"<p>1. La Garantía de Mantenimiento de Oferta deberá expedirse por el equivalente 5% (cinco por ciento) del monto total de la oferta. El oferente debe adoptar cualquiera de las formas de instrumentación de las garantías dispuestas en el SICP por la Convocante.</p>

<p>La garantía de mantenimiento de oferta en caso de oferentes en Coaseguro deberá ser presentado de la siguiente manera: &nbsp;</p>

<ul>
	<li>Coaseguro constituido: deberán emitir a nombre del coaseguro legalmente constituido, de la empresa piloto o de todos los integrantes.</li>
	<li>Coaseguro en proceso de formación con acuerdo de intención: deberán emitir a nombre de la empresa piloto del coaseguro en proceso de formación con acuerdo de intención o de todos los integrantes.</li>
</ul>

<p style=""margin-left:52px; margin-right:22px"">&nbsp;</p>

<p>2. La Garantía de Mantenimiento de Ofertas podrá ser ejecutada:</p>

<ol style=""list-style-type:lower-alpha"">
	<li>Si el oferente altera las condiciones de su oferta,</li>
	<li>Si el oferente retira su oferta durante el período de validez de ofertas,</li>
	<li>Si no acepta la corrección aritmética del precio de su oferta, en caso de existir, o</li>
	<li>Si el adjudicatario no procede, por causa imputable al mismo a:</li>
</ol>

<ul>
	<li>Firmar el contrato,</li>
	<li>Suministrar los documentos indicados en las bases de la contratación para la firma del contrato,</li>
	<li>Suministrar en tiempo y forma la garantía de cumplimiento de contrato,</li>
	<li>Cuando se comprobare que las declaraciones juradas presentadas por el oferente adjudicado con su oferta sean falsas,</li>
	<li>No se formaliza el coaseguro &nbsp;por escritura pública antes de la firma del contrato.</li>
	<li>Si el adjudicatario no presentare las legalizaciones correspondientes para la firma del contrato, cuando éstas sean requeridas.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</li>
</ul>

<p><span style=""display:none"">&nbsp;</span>​​​​​​​​​​​​​​4.&nbsp;En los casos de contratos abiertos las garantías se regirán por lo dispuesto en el Decreto Reglamentario y la reglamentación emitida por la DNCP para el efecto.</p>

<p>5. Una póliza de seguros emitida por una compañía de seguros autorizada a operar y emitir pólizas de seguros de caución en la República del Paraguay.</p>

<p>6. En caso de instrumentarse las garantías a través de Garantía Bancaria, deberá estar sustancialmente de acuerdo con el formulario incluido en la Sección ""Formularios"".</p>

<p>7. Las Garantías tanto de Mantenimiento de Oferta, Cumplimiento de Contrato o de Anticipo, sea cual fuere la forma de instrumentación adoptada, deberá ser pagadera ante solicitud escrita de la convocante donde se haga constar el monto reclamado, cuando se tenga acreditada una de las causales de ejecución de la garantía. En estos casos será requisito que previamente el oferente sea notificado del incumplimiento y la intimación de que se hará efectiva la ejecución del monto asegurado.</p>

<p>8. Si la entrega de las pólizas, se realizare en un plazo menor o igual a diez días calendario, posteriores a la firma del contrato, la garantía de cumplimiento deberá ser entregada antes del cumplimiento de la prestación.</p>

<p>9. La garantía de Fiel Cumplimiento de Contrato será liberada y devuelta al proveedor, a requerimiento de parte, a más tardar treinta (30) días contados a partir de la fecha de cumplimiento de las obligaciones del proveedor en virtud de contrato, incluyendo cualquier obligación relativa a la garantía de los bienes.</p>",,,False,False,False
Periodo de Validez de la Garantía de Mantenimiento de Oferta,<p>El plazo de validez de la Garantía de Mantenimiento de Oferta (en días calendario)&nbsp;será de:&nbsp;</p>,,<p>El oferente deberá presentar como parte de su oferta una Garantía de Mantenimiento de acuerdo al porcentaje indicado para ello en el SICP y por el plazo indicado en este apartado.</p>,"<p>Se deberá indicar en este apartado la cantidad de días en que se requerirá la vigencia de la garantía a ser presentada por el oferente, cuidando que los plazos se extiendan por al menos 30 días posteriores al plazo de validez establecido para&nbsp;las ofertas. Por ejemplo: Si el plazo de validez de la oferta es de 90 días, indicar que la garantía esté&nbsp;vigente por al menos 120 días.</p>",True,False,False
"Retiro, sustitución y modificación de las ofertas",,"<p><strong>1.</strong> Un oferente podrá retirar, sustituir o modificar su oferta después de presentada mediante el envío de una comunicación por escrito, debidamente firmada por el representante autorizado. La sustitución o modificación correspondiente de la oferta deberá acompañar dicha comunicación por escrito.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p><strong>2.</strong> Todas las comunicaciones deberán ser:</p>

<p style=""margin-left:28px""><strong>a)</strong> Presentadas conforme a la forma de presentación e identificación de las ofertas y además los respectivos sobres deberán estar marcados ""RETIRO"", ""SUSTITUCION""&nbsp;o ""MODIFICACION"";</p>

<p style=""margin-left:28px""><strong>b)</strong> Recibidas por la convocante antes del plazo límite establecido para la presentación de las ofertas;</p>

<p>Las ofertas cuyo retiro, sustitución o modificación fuere solicitada&nbsp;serán devueltas sin abrir a los oferentes remitentes, durante el acto de apertura de ofertas.</p>

<p><strong>3.</strong> Ninguna oferta podrá ser retirada, sustituida o modificada durante el intervalo comprendido entre la fecha límite para presentar ofertas y la expiración del período de validez de las ofertas indicado en el Formulario de Oferta o cualquier extensión si la hubiere, caso contrario, se hará efectiva la Garantía de Mantenimiento de Oferta.</p>

<p>Cuando la presentación de oferta se realice a través del módulo de oferta electrónica la misma deberá sujetarse a la reglamentación vigente</p>",,,False,False,False
Apertura de ofertas,,"<p><strong>1.</strong> &nbsp;La entidad convocante procederá a la apertura de las ofertas y, en caso de existir notificaciones de retiro, sustitución o modificación de las propuestas, se leerá durante el acto público en presencia de los oferentes o sus representantes según la hora, fecha y lugar previamente establecidos en el SICP.</p>

<p><strong>2.</strong> Cuando la presentación de la oferta sea electrónica, el acto de apertura deberá sujetarse a la reglamentación vigente, en la hora y fecha establecida en el SICP.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p><strong>3. </strong>Primero se procederá a verificar los sobres de las ofertas recibidas, marcados como:</p>

<p style=""margin-left:28px""><strong>a) </strong>""RETIRO"": Se leerán en voz alta y el sobre con la oferta correspondiente no será abierto sino devuelto al oferente remitente. No se permitirá el retiro de ninguna oferta a menos que la comunicación de retiro contenga una autorización válida y sea leída en voz alta en el acto de apertura de las ofertas.</p>

<p style=""margin-left:28px""><strong>b) </strong>""SUSTITUCION"": Se leerán en voz alta y se intercambiará con la oferta correspondiente que está siendo sustituida; la oferta sustituida no se abrirá y se devolverá al oferente remitente. No se permitirá la sustitución de ninguna oferta a menos que la comunicación de sustitución contenga una autorización válida y sea leída en voz alta en el acto de apertura de las ofertas.&nbsp;&nbsp;</p>

<p style=""margin-left:28px""><strong>c) </strong>""MODIFICACION"": Se abrirán y leerán en voz alta con la oferta correspondiente. No se permitirá ninguna modificación a las ofertas a menos que la comunicación de modificación contenga una autorización válida y sea leída en voz alta en el acto de apertura de las ofertas. Solamente se considerarán en la evaluación los sobres que se abren y leen en voz alta durante el Acto de Apertura de las Ofertas.</p>

<p><strong>4.</strong> Los representantes de los oferentes que participen en la apertura de las ofertas deberán contar con autorización suficiente para suscribir el acta y para revisar los documentos de los demás oferentes, bastando para ello la presentación de una autorización escrita del firmante de la oferta, esta autorización podrá ser incluida en el sobre oferta o ser portada por el representante.</p>

<p><strong>5. </strong>Se solicitará a los representantes de los oferentes presentes que firmen el acta. La omisión de la firma por parte de un oferente no invalida el contenido y efecto del acta. Se distribuirá una copia del acta a todos los presentes.</p>

<p><strong>6.</strong> Las ofertas sustituidas y modificadas, que no sean abiertas y leídas en voz alta durante el acto de apertura no podrán ser consideradas para la evaluación sin importar las circunstancias y serán devueltas sin abrir a los&nbsp; remitentes.</p>

<p><strong>7.</strong> La falta de firma en un documento sustancial, es considerada una omisión sustancial que no podrá ser subsanada en ninguna oportunidad una vez abiertas las ofertas. En cuanto a la garantía de mantenimiento de oferta deberá estar debidamente extendida.&nbsp;</p>

<p><strong>8</strong>. En el sistema de un solo sobre el acta de apertura deberá ser comunicada a través del SICP para su difusión, dentro de los dos (02) días hábiles de la realización del acto de apertura.</p>

<p><strong>9</strong>. En el sistema de doble sobre, el acta de apertura técnica deberá ser comunicada a través del SICP, para su difusión, dentro de los dos (02) días hábiles de la realización del acto de apertura, se procederá de igual manera una vez finalizado el acto de apertura económico.&nbsp;</p>",,,False,False,False
Visita al sitio de ejecución del contrato,<p>La convocante dispone la realización de una visita al sitio con las siguientes indicaciones:</p>,"<p>Fecha:&nbsp;</p>

<p>Lugar:&nbsp;</p>

<p>Hora:</p>

<p>Procedimiento:</p>

<p>Nombre y contacto del funcionario responsable de guiar la visita:</p>","<p>La visita o inspección técnica debe fijarse al menos un (1) día hábil antes de la fecha tope de consulta.</p>

<p>Cuando la convocante haya establecido que será requisito de participación, el oferente que conozca el sitio podrá declarar bajo fe de juramento conocer el sitio y que cuenta con la información suficiente para preparar la oferta y ejecutar el contrato.</p>

<p>En todos los casos, el procedimiento para su realización deberá difundirse en las bases de la contratación.</p>

<p>Las condiciones de participación no deberán ser restrictivas ni limitativas.</p>

<p>Se registrará en acta los asistentes, la fecha, lugar, hora de realización y funcionarios participantes.</p>

<p>Los representantes de los oferentes que asistan podrán contar con una autorización, bastando para ello la presentación de una nota del oferente. <strong>La falta de presentación de esta autorización no impide su participación en la visita o inspección técnica.</strong></p>

<p>Los gastos relacionados con dicha visita correrán por cuenta del oferente.</p>","<p><em>En este apartado, las convocantes podrán establecer la realización de una visita al sitio con carácter obligatorio, a los efectos de que el oferente visite e inspeccione el sitio y sus alrededores, para obtener toda la información que pueda ser necesaria para preparar la oferta y ejecutar el contrato. El oferente podrá presentar una declaración jurada de conocer el sitio de ejecución del contrato, en reemplazo de dicha visita.</em></p>

<p><em>En caso de no establecer la visita como obligatoria, deberá indicar que la misma No Aplica.</em></p>

<p><em>Cuando la convocante indicará en las bases y condiciones si se tratará de un requisito de participación. </em></p>",True,True,False
Condición de Participación,,"<p style=""margin-left:20px; margin-right:22px"">Las ofertas podrán ser presentadas por las compañías aseguradoras que cuentan con capacidad de contratar legalmente y cuyo giro actual se halle estrictamente ajustado a las normas que regulan el régimen de seguros en la República del Paraguay, en un todo conforme a la normativa vigente en materia de seguros en el territorio de la República a la fecha de la convocatoria. En caso de que la oferta se presente en forma de coaseguro, cada empresa coaseguradora debe cumplir con los requisitos exigidos para tales figuras, indicados en el presente documento.</p>

<p style=""margin-left:20px; margin-right:22px"">&nbsp;</p>

<p style=""margin-left:20px; margin-right:22px"">Podrán participar en este procedimiento de contratación, individualmente o en forma conjunta bajo la figura del coaseguro o grupos coaseguradores, los oferentes domiciliados en la República del Paraguay, que no se encuentren comprendidos en las prohibiciones o limitaciones para presentar propuestas o para contratar.</p>

<p style=""margin-left:20px; margin-right:22px"">Para participar en procedimientos de licitación pública nacional (LPN), las empresas deberán contar mínimamente con 5 (cinco) años de experiencia en el mercado de Seguros.</p>",,,False,False,False
Sucursales,,"<p>En los casos de procedimientos de contratación de carácter nacional podrán participar las sucursales de las matrices internacionales constituidas en la República del Paraguay. Solo serán admitidas como criterios de adjudicación las capacidades, experiencia y aptitudes de la sucursal recabadas desde su constitución, sin admitirse la utilización de las cualidades de la casa matriz u otras filiales o sucursales.</p>",,,False,False,False
Requisitos de Calificación,,"<p><strong>Calificación Legal.</strong> Los oferentes deberán declarar que no se encuentran comprendidos en las limitaciones o prohibiciones para contratar con el Estado, según lo establecido en el artículo 21 de la Ley Nº 7021/22 en concordancia con el Artículo 19 de su Decreto Reglamentario. Esta declaración forma parte del formulario de oferta en los casos que el procedimiento de contratación sea convencional y formulario de Oferta electrónica en el caso que se utilice el módulo de oferta electrónica.</p>

<p>Serán desechadas las ofertas de los oferentes que se encuentren comprendidos en las prohibiciones o limitaciones para presentar propuesta y contratar con el Estado, a la hora y fecha límite de presentación de ofertas o a la fecha de firma del contrato.&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>A los efectos de la verificación de la existencia de prohibiciones o limitaciones contenidas en el artículo 21 de la Ley Nº 7021/22, el comité de evaluación realizará el siguiente análisis:</p>

<ol>
	<li>Verificará que el oferente haya proporcionado el formulario de ofertas, la declaración jurada de no estar comprendido en las prohibiciones y limitaciones para presentar propuesta y contratar, y además las constancias de registro de estructura jurídica y de beneficiarios finales.</li>
	<li>Verificará los registros del personal de la convocante para detectar si el oferente o sus representantes, se hallan comprendidos en el artículo 21 de la Ley Nº 7021/22.</li>
	<li>Verificará por los medios disponibles, si el oferente y los demás sujetos individualizados en las prohibiciones o limitaciones contenidas en los incisos, aparecen en la base de datos del SINARH del VICE MINISTERIO DE CAPITAL HUMANO Y GESTION ORGANIZACIONAL.</li>
	<li>Si se constatara que alguno de las personas mencionadas en el párrafo anterior figura en la base de datos del SINARH del VICE MINISTERIO DE CAPITAL HUMANO Y GESTION ORGANIZACIONAL, el comité analizará acabadamente si tal situación le impedirá ejecutar el contrato, exponiendo los motivos para aceptar o rechazar la oferta, según sea el caso.</li>
	<li>Verificará que el oferente haya proporcionado el formulario de Declaración de Personas, debidamente firmado, conforme a los estándares establecidos, &nbsp;y cotejará los datos con las personas físicas inhabilitadas que constan en el registro de “Sanciones a Proveedores” del SICP. Con el objeto de verificar si los directores, gerentes, socios gerentes, quienes ejerzan la administración, accionistas, cuotapartistas o propietarios se encuentren dentro de los criterios contemplados en los incisos g), h), i), y j) de la Ley 7021/22.</li>
	<li>El comité podrá recurrir a fuentes públicas o privadas de información, para verificar los datos proporcionados por el oferente y las obrantes en el registro de inhabilitados de la DNCP.</li>
	<li>Si el Comité confirma que el oferente o sus integrantes poseen impedimentos en virtud a lo dispuesto en el artículo 21 de la Ley N° 7021/22, la oferta será rechazada y se remitirán los antecedentes a la DNCP para los fines pertinentes.</li>
</ol>

<p>&nbsp;</p>",,,False,False,False
Metodo de Evaluación,,,,<p><strong><em>(La convocante deberá indicar en este apartado el método de evaluación de las ofertas. En caso de establecer únicamente basada en precio deberá excluir la cláusula denominada “Evaluación basada en multiplicidad de criterios” establecida a continuación) </em></strong></p>,True,False,False
